precio_mxn,m2,recamaras,banos,medios_banos,estacionamientos,antiguedad_anos,pisos,direccion,latitud,longitud,roof_garden,alberca,url,tipo
1799000,66.0,3,3,1,1.0,,1,"Venta de Departamentos Dos y Tres Recamaras en Puebla, Pue",19.0624032,-98.236689,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-de-departamentos-dos-y-tres-recamaras-en-puebla-149718279.html?n_src=Listado&n_pills=Patio&n_pg=2&n_pos=14,departamentos
1400000,63.0,3,3,1,1.0,,1,"Venta de Departamentos 3 Recamaras en Amalucan, Provincia de Puebla",19.0505814,-98.1300856,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-de-departamentos-3-recamaras-en-amalucan-146578699.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=2&n_pos=15,departamentos
3650000,134.0,3,3,2,2.0,,1,"Depto 134 m² en Bristol Park | San José del Puente | Amplio Lujo, Provincia de Puebla",19.067325499999995,-98.24625879999999,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-depto-134-m-sup2--en-bristol-park-san-jose-del-144105219.html?n_src=Listado&n_pg=2&n_pos=16,departamentos
1700000,44.0,3,1,1,,7.0,1,"Loft / Departamento en Venta, Provincia de Puebla",19.04547546894891,-98.2035842888355,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-loft-departamento-en-venta-148332395.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=17,departamentos
3500000,133.0,2,2,2,2.0,,1,"Zona Zavaleta. Ubicacion Privilegiada. Garage Techado, Provincia de Puebla",19.04914003137656,-98.24610161667175,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-zona-zavaleta.-ubicacion-148309003.html?n_src=Listado&n_pills=Patio&n_pg=2&n_pos=18,departamentos
3480000,120.0,3,2,2,2.0,,1,"Departamento en Venta de 120 m², en Calzada Zavaleta 5118, Santa Cruz Buenavista, Puebla",19.051224766481862,-98.2469092240723,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-de-120-m-sup2--en-calzada-147933291.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=2&n_pos=19,departamentos
2200000,90.0,3,2,2,2.0,7.0,1,"Departamento en Venta Zona Zavaleta con Áreas Verdes, Puebla, Provincia de Puebla",19.050255572198864,-98.24518251304933,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-zona-zavaleta-con-areas-verdes-149243073.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=20,departamentos
2450000,85.0,3,2,2,1.0,8.0,1,"Departamento en Venta Zona Zavaleta y Antuñano, Provincia de Puebla",19.0704227,-98.2449069,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-zona-zavaleta-y-antunano-148862018.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=21,departamentos
1800000,85.0,3,2,1,1.0,14.0,1,"Se Vende Departamento en Puebla Excelente Ubicacion, Provincia de Puebla",19.0275615,-98.2170453,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-se-vende-departamento-en-puebla-excelente-ubicacion-148773743.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=22,departamentos
3307000,78.0,3,3,2,2.0,,1,"Torre Huz, San José del Puente, Puebla, Provincia de Puebla",19.0673255,-98.24625879999999,0,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-torre-huz-san-jose-del-149631655.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=2&n_pos=23,departamentos
2900000,162.0,2,2,2,2.0,12.0,1,Puebla (Zavaleta),19.0503332,-98.2454065,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin--departamento-en-venta-en-puebla-zavaleta-.-146658218.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=24,departamentos
1186000,69.0,3,2,1,1.0,,1,"Amplio Departamento en La Ciudad de Puebla en Bello y Bien Ubicado Residencial, Provincia de Puebla",19.05232447236246,-98.14591815600585,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-amplio-departamento-en-la-ciudad-de-puebla-en-bello-y-149518048.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=2&n_pos=25,departamentos
2245000,72.0,3,2,2,1.0,,1,"Venta Departamento Recta a Cholula, Puebla, Provincia de Puebla",19.0596671,-98.2383912,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-departamento-recta-a-cholula-puebla-146510401.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=2&n_pos=26,departamentos
1750000,75.0,3,2,1,1.0,9.0,1,"Departamento en Venta Zona 11 Sur Av Las Torres Puebla Tec de Monterrey, Provincia de Puebla",19.006277524959582,-98.24240050000644,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-zona-11-sur-av-las-torres-puebla-149751016.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=27,departamentos
3900000,103.0,3,3,2,2.0,,1,"Departamento Nuevo en Venta Cerca de Av Juarez, Provincia de Puebla",19.049620900000008,-98.22725779999999,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-nuevo-en-venta-cerca-de-av-juarez-146785676.html?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=28,departamentos
2279600,82.0,3,2,2,,,1,"Excelente Departamento Nuev Fracc Estrellas del Sur $2,279,600, Provincia de Puebla",19.040854,-98.2445422,1,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-excelente-departamento-nuev-fracc-estrellas-del-sur-149490241.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=29,departamentos
2150000,120.0,3,2,1,2.0,26.0,1,"Departamento en Venta Villa Carmel, Provincia de Puebla",19.0166629,-98.1953795,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-villa-carmel-148929661.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=30,departamentos
780000,56.0,3,3,1,,33.0,1,"Departamento en Venta Unidad Habitacional San José Xilotzingo, Provincia de Puebla",18.99181510848132,-98.19910656535949,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-unidad-habitacional-san-jose-149740674.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=3&n_pos=1,departamentos
5245000,136.0,3,3,2,2.0,,1,"Departamento en Venta 3 Recamaras Arboledas de Zavaleta Amenidades, Provincia de Puebla",19.0687921,-98.2492059,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-3-recamaras-arboledas-de-145837096.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=3&n_pos=3,departamentos
2100000,86.0,3,2,2,1.0,,1,"La Paz, Provincia de Puebla",19.052341371070803,-98.22630455131225,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-ultimo-departamento-en-venta-en-la-paz-149704057.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=3&n_pos=4,departamentos
1200000,73.0,3,2,1,1.0,,1,"Bonito Departamento Lomas El Pedregal, Provincia de Puebla",19.0066806,-98.1802428,0,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-bonito-departamento-lomas-el-pedregal-149467310.html?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=3&n_pos=5,departamentos
3000000,154.0,3,2,2,2.0,7.0,1,"Camino Real, Provincia de Puebla",19.047558199999997,-98.25481260000001,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-townhouse-tipo-loft-en-venta-en-camino-real-148844397.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=3&n_pos=6,departamentos
2100000,113.0,3,3,2,2.0,,1,"Lomas del Marmol Primera Seccion, Provincia de Puebla",19.0035206,-98.1842578,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-nuevos-en-venta-en-lomas-del-marmol-148929690.html?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=3&n_pos=7,departamentos
3665970,9134.0,3,2,2,1.0,,1,"Departamentos Exclusivos Torre Estrella en El Corazón de Angelópolis, Puebla, Provincia de Puebla",19.0350726,-98.2310826,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-exclusivos-torre-estrella-en-el-corazon-147264385.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=3&n_pos=8,departamentos
3600000,133.0,3,2,2,2.0,,1,"Zona Zavaleta. Excelente Ubicacion, Provincia de Puebla",19.0500662,-98.2457484,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-zona-zavaleta.-excelente-148260125.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=3&n_pos=9,departamentos
3550000,174.0,3,2,3,2.0,18.0,1,"Angelópolis, Provincia de Puebla",19.035435,-98.2420217,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-angelopolis-145719421.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=3&n_pos=10,departamentos
1190000,75.0,3,3,1,1.0,1.0,1,"Departamento en Venta de 75 m² de Construcción con 3 Recámaras, a Unos Pasos del Periférico, Provincia de Puebla",19.007854197130513,-98.15162465310324,0,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-de-75-m-sup2--de-construccion-147693717.html?n_src=Listado&n_pills=Alberca&n_pg=3&n_pos=11,departamentos
2990000,89.0,2,2,2,2.0,,1,"Departamentos 33.10 en Huexotitla con Acabados de Lujo, Elevador y Paneles Solares, Provincia de Puebla",19.031709,-98.2055165,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-33.10-en-huexotitla-con-acabados-de-148628003.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=3&n_pos=13,departamentos
6980000,225.0,3,3,3,3.0,8.0,1,"Penthouse en Venta o Renta en Torre Huz en Zavaleta! con Dos Pisos, Provincia de Puebla",19.066500848692556,-98.24629712745892,0,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-penthouse-en-venta-o-renta-en-torre-huz-en-zavaleta!-147968572.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=3&n_pos=14,departamentos
